MEJOR PILOTO : 0 																																																																																																																																																																																																																																																																																											
DISTANCIA ACELERADA SECTOR: 	321,71	0	8,06	91,19	0	12,92	303,95	0	8,19	88,77	0	10,96	375,39	0	6,73	91,82	0	11,39	315,01	0	7,35	90,49	0	0	338,06	0	7,82	94,43	0	0	361,21	0	6,96	0	98,6	12,81	348,2	0	8,3	78,44	0	0	312,11	0	7,06	78,32	0	0	368,32	0	7,64	74,17	115,97	0	324,74	0	7,25	73,53	0	11,27	329,17	0	7,87	83,17	0	0	300,75	0	8,86	93,08	0	12,3	336,75	0	8,42	92,39	0	10,17	382,96	0	7,91	80,14	0	9,82	310,58	0	7,74	82,61	0	12,16	341,66	0	7,23	85,09	0	0	383,59	0	8,2	85,14	0	12,53	297,48	0	8,46	94,01	0	12,08	326,26	0	7,87	83,87	0	0	321,01	0	7,5	83,64	0	11,03	351,62	0	6,72	81,52	0	11,09	326,97	0	6,77	84,4	0	10,38	298,15	0	8,05	81,43	0	10,28	381,18	0	8,06	94,63	118,71	11,35	315,53	0	7,56	92,69	0	12,67	370,97	0	8,19	79,49	0	0	296,21	0	6,89	91,51	108,45	11,57	297,39	0	7,35	87,52	0	11,9	311,55	0	7,64	87,18	0	12,72	364,53	0	8,19	88,59	0	12,35	364,88	0	7,91	76,83	0	11,81	351,4	0	6,9	80,01	0	0	300,96	0	6,91	86,74	0	0	357,83	0	7,02	74,28	0	0	371,98	0	7,68	90,39	0	11,55	379,13	0	6,75	92,88	0	12,36	344,03	0	6,86	83,91	0	11,02	312,52	0	8,6	89,01	0	12,74	360,48	0	8,69	75,42	0	10,65	379,07	0	8,16	92,5	0	9,97	297,28	0	7,22	94,41	0	0	359,6	0	7,44	90,91	0	0	335,12	0	8,55	74,21	0	10,2	390,72	0	7,62	93,54	0	10,46	337,98	0	8,58	81,72	0	0	321,68	0	8,28	74,79	0	13	308,34	0	6,88	77,14	0	10,92	
DISTANCIA FRENADA SECTOR: 	0	9,62	0	0	80,16	0	0	19,03	0	0	120,32	0	0	28,94	0	0	47,85	0	0	22,71	0	0	49,47	4,59	0	33,39	0	0	119,45	4,26	0	11,26	0	52,55	0	0	0	18,26	0	0	6,4	4,41	0	4,63	0	0	96,53	7,47	0	4,57	0	0	0	10,13	0	30,24	0	0	97,41	0	0	24,7	0	0	62,3	9,27	0	31,61	0	0	103	0	0	22,74	0	0	98,61	0	0	21,78	0	0	86,42	0	0	5,46	0	0	13,87	0	0	13,34	0	0	56,55	9,82	0	33,28	0	0	44,37	0	0	4,18	0	0	25,82	0	0	17,76	0	0	38,92	4,69	0	12,26	0	0	40,05	0	0	23,5	0	0	47,94	0	0	3,23	0	0	39,4	0	0	15,17	0	0	41,7	0	0	11,16	0	0	0	0	0	32,51	0	0	56,92	0	0	7,08	0	0	0,53	0,12	0	25,01	0	0	0	0	0	1,35	0	0	10,42	0	0	24,62	0	0	27,66	0	0	26,06	0	0	111,07	0	0	24,74	0	0	89,27	0	0	12,45	0	0	45,28	3,48	0	18,41	0	0	107,92	10,06	0	16,42	0	0	42,88	3,89	0	14,23	0	0	58,55	0	0	14,01	0	0	112,05	0	0	2,66	0	0	1,82	0	0	3,87	0	0	111,43	0	0	19,82	0	0	16,51	0	0	29,24	0	0	62,85	0	0	14,79	0	0	102,45	4,84	0	15,32	0	0	2,37	1,64	0	8,58	0	0	79,33	0	0	6,44	0	0	118,25	0	0	29,88	0	0	117,2	5,17	0	4,28	0	0	31,63	0	0	0,7	0	0	103,34	0	
VELOCIDAD POR SECTOR: 	177,45	70,62	160,51	174,52	80,49	87,04	175,1	174,91	177,03	178	73,17	102,4	144,83	83,32	176,8	177,41	98,2	104,74	159,46	115,33	133,51	172,32	158,27	67,81	169,98	95,42	155,22	158,76	145,57	71,52	88,41	74,57	178,82	97,52	98,28	107,6	124,01	106,6	117,84	155,68	110,3	104,25	136,3	119,8	177,25	177,82	156,9	80,39	170,54	77,24	87,75	101,06	110,12	87,95	155,08	43,32	125,08	151,17	12,14	67,98	84	7,82	111,29	125,03	124,26	49,47	166,3	138,6	157,73	175,83	19,72	76,68	120,39	19,67	133,57	139,22	91,61	105,92	179,97	163,3	174,6	177,14	73,11	86,15	178,95	107,02	118,45	170,19	75,5	105,74	161,03	111,05	150,31	175,73	163,97	157,97	175,72	6,95	135,88	162,56	24,15	52,03	128,34	70,73	70,99	165,94	2,67	73,67	177,08	145,24	148,53	170,19	155,86	41,45	122,35	94,36	164,66	171,09	89,43	91,7	178,97	87,58	122,35	123,1	66,93	69,33	171,86	42,39	114,94	155,81	90,87	102,94	155,72	70,56	108,95	138,87	83,73	91,99	129,26	49,25	52,08	104,34	106,55	107,21	107,22	92,42	99,65	150,9	15,41	36,93	147,67	23,4	168,5	169,1	143,05	111,36	119,29	19,94	57,45	90,72	100,33	103,24	156,47	65,68	142,64	170,07	35,32	68,54	156,15	120,84	172,73	172,9	58,27	81,12	166,12	100,41	111,88	152,66	38,09	89,25	177,46	166,48	169,45	172,85	73,04	94,88	125,92	85,06	109,79	135,29	127,24	101,46	111,34	55,95	132,76	145,01	138,5	52,38	109,88	68,53	119,89	173,19	165,1	120,97	162,69	36,21	129,26	132,79	20,33	90,78	169,53	142,58	163,02	175,82	91,63	106,43	156,33	49,62	164,26	176,67	62,53	87,28	120,75	93,04	168,26	176,32	65,43	73,09	169,09	80,56	123,18	165,04	12,6	75,34	167,47	95,12	118,38	135,92	34,28	46,65	103,78	90,47	96,73	170,41	141,08	77,82	172,96	11,88	138,09	169,49	121,56	46,42	165,87	126,3	131,46	145,44	35,96	52,35	165,33	19,29	168,95	170,56	71,73	99,73	104,88	2,49	146,15	162,27	143,72	98,04	165,83	51,24	79,84	148,76	40,53	50,25	163	71,19	156,43	166,13	102,84	106,64	
MEJOR PILOTO : 1 																																																																																																																																																																																																																																																																																											
DISTANCIA ACELERADA SECTOR: 	340,19	0	6,86	83,74	0	11,61	346,56	0	8,61	95,84	0	10,62	300,02	0	7,21	82,22	0	0	356,93	0	8,1	83,97	0	0	309,76	0	6,72	83,07	0	10,44	309,1	0	7,08	80,23	0	0	374,26	0	8,1	93,35	0	12,6	357,48	0	8,46	87,57	0	10,47	353,99	0	7,72	87,37	0	9,94	294,98	0	6,99	91,92	95,84	12,75	321,28	0	8,31	90	0	0	315,91	0	8,67	74,36	0	12,07	377,84	0	7,58	75,12	0	12,79	319,31	0	6,96	75,59	0	12,61	391,74	0	8,52	75,16	0	12,61	329,13	0	8,82	82,78	0	0	325,49	0	7,26	91,9	0	12,27	327,43	0	6,7	83,71	0	9,84	354	0	8,45	75,33	0	11,22	335,23	0	7,87	82,98	0	12,71	350,53	0	6,86	90,97	0	10,87	312,48	0	8,41	90,63	0	0	354,33	0	7,73	94,64	0	10,92	383,16	0	6,95	81,46	0	12,25	344,92	0	8,66	95,9	0	0	302,75	0	8,8	95,05	0	12,56	340,79	29	7,34	90,62	0	10,69	348,82	0	8,47	81,03	0	11,33	388,76	0	7,61	73,9	0	11,36	361,41	0	7,96	0	0	12,4	313,19	0	7,53	90,91	0	0	333,93	0	8,34	89,82	104,78	10,5	364,36	0	7,59	78,69	0	12,82	372,32	0	7,81	83,96	0	0	343,29	0	7,8	91,27	0	0	353,76	0	8,07	87,64	0	0	346	0	7,06	87,97	0	0	295,31	0	7,34	75,01	0	0	317,31	0	8,18	84,4	0	12,57	304,47	30,08	7,21	82,9	0	12,69	353,05	0	7,04	82,22	93,26	0	320,41	0	8,72	73,6	0	12,95	360,49	0	7,15	90,41	0	12,58	339,93	0	8,51	83,62	0	0	340,1	0	8,12	93,02	0	11,62	375,42	0	6,77	89,48	0	0	371,72	0	8,07	89,86	0	10,43	
DISTANCIA FRENADA SECTOR: 	0	10,08	0	0	106,32	0	0	2,07	0	0	101,2	0	0	23,3	0	0	10,91	9,85	0	25,86	0	0	2,63	8,73	0	13,31	0	0	89,68	0	0	24,81	0	0	73,59	11,97	0	9,36	0	0	65,97	0	0	15,02	0	0	61,33	0	0	8,07	0	0	76,48	0	0	32,88	0	0	0	0	0	21,33	0	0	39,51	3,43	0	10,87	0	0	7,34	0	0	5,93	0	0	43,44	0	0	29,82	0	0	113,52	0	0	17,86	0	0	17,61	0	0	30,4	0	0	52,42	10,94	0	19,81	0	0	24,73	0	0	0,21	0	0	66,38	0	0	15,7	0	0	11,38	0	0	11,52	0	0	49,41	0	0	10,29	0	0	46,14	0	0	19,75	0	0	53,23	5,56	0	8,55	0	0	18,26	0	0	5,35	0	0	61,4	0	0	2,64	0	0	45,6	12,1	0	11,56	0	0	13,62	0	0	0	0	0	21,14	0	0	7,9	0	0	91,66	0	0	10,31	0	0	53,25	0	0	23,83	0	89,35	107,47	0	0	0,11	0	0	92,99	6,34	0	9,9	0	0	0	0	0	10,69	0	0	88,72	0	0	6	0	0	30,54	6,58	0	7,67	0	0	79,45	5,49	0	15,05	0	0	24,6	4,57	0	27,13	0	0	109,28	8,35	0	8,89	0	0	10,46	11,76	0	14,95	0	0	54,71	0	0	0	0	0	53,13	0	0	10,99	0	0	0	3,65	0	3,31	0	0	46,86	0	0	21,98	0	0	116,44	0	0	23,97	0	0	65,68	10,66	0	29,37	0	0	72,88	0	0	25,11	0	0	33,88	11,26	0	28,56	0	0	50,05	0	
VELOCIDAD POR SECTOR: 	146,1	112,06	142,17	148,58	96,24	99,12	139,51	57,19	121,98	123,66	20	93,26	163,64	41,47	142,91	176,96	113,11	66,47	156,56	110,27	117,75	163,21	156,95	111,41	157,94	84,91	119,56	171,41	97,81	103	139,62	39,53	64,87	121,78	115,6	73,19	132,95	8,51	53,99	163,16	96,1	102,92	127,88	104,97	162,9	174,44	106,05	108,01	143,98	118,47	128,96	134,62	31,9	100,85	140,04	38,47	84,25	92,4	97,13	100,97	178,71	100,71	174,08	175,13	123,34	89,95	96,11	72,16	110,05	122,17	40,62	43,56	80,41	52,82	88,02	172,94	24,44	107,11	155,74	120,69	153,38	174,53	65,96	104,21	109,65	12,56	163,72	175,78	26,04	31,86	136,18	46,67	78,75	136,45	134,23	26,54	100,06	56,36	176,23	176,34	97,75	105,59	141,84	20,92	130,89	174,83	70,6	84,02	115,61	112,71	147,49	174,51	98,92	103,26	149,18	92,48	138,2	149,21	89,19	105,26	143,04	96,79	134,76	152,28	45,66	80,59	139,64	122,02	175,19	177,11	158,11	136,27	175,52	106,95	173,82	175,16	105,75	107,17	120,26	39,57	177,78	178,08	95,41	105,95	177,52	170,7	171,44	173,25	170,01	162,05	172,66	116,71	124,05	139,71	22,77	23,64	31,12	34,7	118,39	136,34	30,09	55,88	173,93	167,72	176,17	177,31	72,84	102,71	154,86	3,59	142,24	149,73	27,76	102,45	171,92	159,25	178,26	164,87	92,91	102,84	128,09	51,18	92,91	136,79	133,74	88,51	155,27	31,44	48,81	70	81,56	82,46	92,8	23,87	52,34	123,63	54,38	60,08	160,04	144,5	145,36	160,35	156,18	107,62	171,67	160,14	176,67	176,84	119,4	49,13	174,68	162,58	165,73	175,86	132,22	84,11	134,79	45,06	150,73	163,15	155,34	118,56	145,48	101,69	162,52	178,04	151,5	70,98	153,38	42,26	154,86	160,67	1,62	15,89	45,47	46,86	126,77	173,51	28,37	39,44	67,18	17,85	62,24	109,23	110,62	94,05	152,22	128,6	131,51	145,63	59,75	97,71	108,33	73,06	115,7	163,49	24,11	27,91	179,88	90,15	131,08	168,4	122,66	48,67	83,61	45,59	165,25	167,35	59,68	75,37	81,98	77,99	177,66	178,06	139,92	84,25	168,3	66,21	103,82	118,26	42,81	103,94	
MEJOR PILOTO : 2 																																																																																																																																																																																																																																																																																											
DISTANCIA ACELERADA SECTOR: 	336,46	0	8,1	96,05	0	12,98	299,02	0	8,63	83,69	0	0	375,63	0	7,89	84,43	0	10,21	333,89	0	7,31	75,89	0	0	385,31	0	8,76	90,13	0	12,63	333,99	0	8,19	77,67	101,32	12,37	343,09	0	8,64	75,42	0	10	354,64	0	8,07	82,36	0	0	385,81	0	8,55	91,78	0	0	322,04	0	7,31	93,08	0	0	343,99	0	8,02	73,85	0	9,82	361,45	0	7,17	73,6	0	0	357,23	0	7,79	87,38	0	0	356,1	0	6,96	72,82	0	12,87	313,19	0	8,15	77,16	0	11,75	392,7	0	8,12	87,75	0	12,2	381,64	0	8,27	89,93	0	0	319,17	0	6,88	83,91	0	0	334,1	0	6,97	84	0	12,06	371,5	0	8,41	90,43	0	0	329,59	0	8,67	79,62	0	12,63	382,85	0	6,85	79,36	0	0	350,07	0	7,81	79,06	0	12,46	361,62	0	8,62	78,17	0	11,25	330,3	0	8,04	80,51	0	10,39	357,22	0	6,97	81,92	0	0	350,55	0	7,71	86,35	0	0	317,51	0	8,38	76,04	0	10,19	371,39	0	7,82	81,95	0	11,61	363,69	0	7,45	87,49	0	11,26	314,18	0	8,74	75,28	0	11,37	337,49	0	8,21	82,11	0	0	387,46	0	8,04	76,98	91,12	12,47	312,3	0	7,22	83,53	0	11,4	297,12	0	8,07	91,91	0	0	388,7	0	7,52	90,15	0	10,84	353,07	0	7,08	84,01	0	12,18	311	0	7,45	74,08	95,65	11,25	391,26	0	7,81	96,62	0	0	365,46	0	7,58	85,53	0	9,92	313,81	0	8,56	96,54	0	11,22	324,16	0	6,88	82,3	0	11,38	301,42	0	8,07	86,47	117,52	10,9	383,75	0	8,84	84,96	0	12,59	313,45	0	7,81	81,9	0	0	372,05	0	7,47	83,05	0	0	380,19	0	7,65	92,88	0	0	
DISTANCIA FRENADA SECTOR: 	0	14,67	0	0	23,36	0	0	18,19	0	0	54,55	1,28	0	23,31	0	0	40,96	0	0	15,46	0	0	28,28	1,07	0	18,95	0	0	69,72	0	0	11,94	0	0	0	0	0	17,79	0	0	70,9	0	0	32,36	0	0	109,82	1,86	0	11,77	0	0	65,65	0,72	0	29,07	0	0	85,2	7,16	0	13,56	0	0	116,22	0	0	1,28	0	0	34,4	7	0	25,79	0	0	118,88	1,18	0	10,82	0	0	83,52	0	0	33,05	0	0	109,66	0	0	4,9	0	0	7,59	0	0	20,43	0	0	72,99	11,97	0	28,78	0	0	69,69	10,38	0	31,07	0	0	79,45	0	0	28,71	0	0	57,81	5,05	0	19,39	0	0	71,48	0	0	26,95	0	0	3,74	11,47	0	7,34	0	0	51,83	0	0	8,05	0	0	14,84	0	0	32,42	0	0	5,08	0	0	8,25	0	0	5,93	10,22	0	32,63	0	0	39,02	1,3	0	31,77	0	0	71,76	0	0	5,38	0	0	12,29	0	0	8,62	0	0	119,06	0	0	1,83	0	0	0,43	0	0	16,3	0	0	73,03	1	0	17,36	0	0	0	0	0	12,37	0	0	55,77	0	0	5,88	0	0	58,3	4,69	0	11,85	0	0	53,63	0	0	15,66	0	0	64,97	0	0	5,05	0	0	0	0	0	15,38	0	0	70,04	8,78	0	2,68	0	0	111,66	0	0	26,4	0	0	48,78	0	0	33,26	0	0	95,37	0	0	18,71	0	0	0	0	0	12,05	0	0	23,68	0	0	14,62	0	0	97,41	2,54	0	15,82	0	0	76,98	4,39	0	26,64	0	0	38,47	7,48	
